benchmark_id	time_ns	throughput_per_s
arithmetic/add/1024	18503	13836000
arithmetic/add/128	13168	19441000
arithmetic/add/32768	196370	1303600
arithmetic/add/4096	35755	7159800
arithmetic/div/1024	106780	2397500
arithmetic/div/128	26227	9761000
arithmetic/div/32768	27737000	9230
arithmetic/div/4096	1007100	254210
arithmetic/div_one/14400	1795100	35653
arithmetic/div_one/32768	6937900	9225
arithmetic/div_one/4096	248800	257230
arithmetic/mul/1024	41071	6233100
arithmetic/mul/128	11723	21837000
arithmetic/mul/32768	12329000	20763
arithmetic/mul/4096	397770	643590
arithmetic/mul_fft/345664	12153000	658
arithmetic/mul_fft/524288	20848000	384
arithmetic/recip_mul_vs_div/direct_div	1747200	36058
arithmetic/recip_mul_vs_div/recip_then_mul	914110	68920
arithmetic/reciprocal/1024	701940	364700
arithmetic/reciprocal/128	24619	10398000
arithmetic/reciprocal/32768	137600000	1861
arithmetic/reciprocal/4096	5741700	44586
arithmetic/rem/1024	4184	15297000
arithmetic/rem/32768	47554	1345800
arithmetic/rem/4096	8395	7623600
arithmetic/sqrt/1024	1047700	244350
arithmetic/sqrt/128	789450	324280
arithmetic/sqrt/32768	29865000	8572
arithmetic/sqrt/4096	1816100	140960
composite/decimal_format/1024	4352	-
composite/decimal_format/128	969	-
composite/decimal_format/4096	26093	-
composite/exp_ln_product/1024	95317	-
composite/exp_ln_product/128	29554	-
composite/exp_ln_product/4096	1149200	-
composite/pi_via_atan/1024	78361	-
composite/pi_via_atan/128	25446	-
composite/pi_via_atan/32768	33891000	-
composite/pi_via_atan/4096	804390	-
composite/pythagorean/1024	5368	-
composite/pythagorean/128	3621	-
composite/pythagorean/32768	315130	-
composite/pythagorean/4096	14633	-
composite/trig_identity/1024	65031	-
composite/trig_identity/128	14031	-
composite/trig_identity/4096	740030	-
linalg/fft/1024	2146300	-
linalg/fft/256	502360	-
linalg/fft/4096	9856300	-
linalg/lu/200	202350000	-
linalg/lu/50	3227200	-
linalg/matmul/10	69703	-
linalg/matmul/100	69105000	-
linalg/matmul/1000	10180000000	-
specials/bessel_j/1024	84933	-
specials/bessel_j/128	10393	-
specials/bessel_j/256	15862	-
specials/bessel_j/512	32323	-
specials/bessel_j/64	7899	-
specials/erf/1024	161570	-
specials/erf/128	21501	-
specials/erf/256	32112	-
specials/erf/512	61122	-
specials/erf/64	17315	-
specials/gamma/1024	620	-
specials/gamma/128	450	-
specials/gamma/256	477	-
specials/gamma/512	515	-
specials/gamma/64	439	-
transcendentals/atan/1024	4736100	13513
transcendentals/atan/128	1413600	45276
transcendentals/atan/32768	2167900000	30
transcendentals/atan/4096	53107000	1205
transcendentals/cos/1024	1948600	32844
transcendentals/cos/128	459630	139240
transcendentals/cos/32768	1440800000	44
transcendentals/cos/4096	22658000	2825
transcendentals/cosh/1024	2751800	23258
transcendentals/cosh/128	758670	84358
transcendentals/cosh/32768	1486200000	43
transcendentals/cosh/4096	23942000	2673
transcendentals/exp/1024	1740000	36781
transcendentals/exp/128	523910	122160
transcendentals/exp/32768	1292800000	50
transcendentals/exp/4096	19267000	3322
transcendentals/hypot/1024	5241400	12210
transcendentals/hypot/128	4985600	12837
transcendentals/hypot/32768	37549000	1705
transcendentals/hypot/4096	7267000	8807
transcendentals/ln/1024	3566900	17943
transcendentals/ln/128	1188400	53856
transcendentals/ln/32768	2608400000	25
transcendentals/ln/4096	44320000	1444
transcendentals/log2_log10/log10/1024	4152200	15413
transcendentals/log2_log10/log10/128	1499200	42690
transcendentals/log2_log10/log10/4096	50427000	1269
transcendentals/log2_log10/log2/1024	3583800	17858
transcendentals/log2_log10/log2/128	1304700	49054
transcendentals/log2_log10/log2/4096	42846000	1494
transcendentals/pow/1024	6939400	9223
transcendentals/pow/128	2224800	28766
transcendentals/pow/4096	72331000	885
transcendentals/sin/1024	2131000	30033
transcendentals/sin/128	486850	131460
transcendentals/sin/32768	1633500000	39
transcendentals/sin/4096	24619000	2600
transcendentals/sinh/1024	2050800	31207
transcendentals/sinh/128	559600	114370
transcendentals/sinh/32768	1481600000	43
transcendentals/sinh/4096	22380000	2860
transcendentals/tanh/1024	2151000	29753
transcendentals/tanh/128	627320	102020
transcendentals/tanh/32768	1289500000	50
transcendentals/tanh/4096	20557000	3113
