library	precision_bits	task	batch_size	best_time_us
zenith	132	add	1000000	42138
astro	132	add	1000000	39715
zenith	132	sub	1000000	40874
astro	132	sub	1000000	39070
zenith	132	mul	1000000	39227
astro	132	mul	1000000	36686
zenith	132	div	1000000	117518
astro	132	div	1000000	114950
zenith	132	sqrt	100000	333587
astro	132	sqrt	100000	321426
zenith	132	ln	10000	203960
astro	132	ln	10000	196095
zenith	132	exp	10000	89488
astro	132	exp	10000	85168
zenith	132	sin	10000	56416
astro	132	sin	10000	54219
zenith	132	cos	10000	53237
astro	132	cos	10000	51616
